ix,iy,xmin,xmax,ymin,ymax,count,x_center,y_center
2,5,6.099306666666666,6.5957349999999995,37.26396666666666,37.71536,0,6.347520833333332,37.489663333333326
3,5,6.5957349999999995,7.092163333333334,37.26396666666666,37.71536,0,6.8439491666666665,37.489663333333326
4,5,7.092163333333334,7.588591666666667,37.26396666666666,37.71536,0,7.340377500000001,37.489663333333326
5,5,7.588591666666667,8.08502,37.26396666666666,37.71536,0,7.836805833333333,37.489663333333326
6,5,8.08502,8.581448333333334,37.26396666666666,37.71536,0,8.333234166666667,37.489663333333326
7,5,8.581448333333334,9.077876666666667,37.26396666666666,37.71536,0,8.829662500000001,37.489663333333326
8,5,9.077876666666667,9.574305,37.26396666666666,37.71536,0,9.326090833333334,37.489663333333326
9,5,9.574305,10.070733333333333,37.26396666666666,37.71536,0,9.822519166666666,37.489663333333326
10,5,10.070733333333333,10.567161666666667,37.26396666666666,37.71536,0,10.3189475,37.489663333333326
11,5,10.567161666666667,11.063590000000001,37.26396666666666,37.71536,0,10.815375833333334,37.489663333333326
12,5,11.063590000000001,11.560018333333334,37.26396666666666,37.71536,0,11.311804166666668,37.489663333333326
13,5,11.560018333333334,12.056446666666668,37.26396666666666,37.71536,1,11.8082325,37.489663333333326
14,5,12.056446666666668,12.552875,37.26396666666666,37.71536,2,12.304660833333333,37.489663333333326
15,5,12.552875,13.049303333333334,37.26396666666666,37.71536,7,12.801089166666667,37.489663333333326
16,5,13.049303333333334,13.545731666666669,37.26396666666666,37.71536,3,13.297517500000001,37.489663333333326
17,5,13.545731666666669,14.042160000000003,37.26396666666666,37.71536,10,13.793945833333336,37.489663333333326
18,5,14.042160000000003,14.538588333333333,37.26396666666666,37.71536,16,14.290374166666668,37.489663333333326
19,5,14.538588333333333,15.035016666666667,37.26396666666666,37.71536,183,14.7868025,37.489663333333326
20,5,15.035016666666667,15.531445000000001,37.26396666666666,37.71536,56,15.283230833333334,37.489663333333326
21,5,15.531445000000001,16.027873333333336,37.26396666666666,37.71536,32,15.779659166666669,37.489663333333326
22,5,16.027873333333336,16.52430166666667,37.26396666666666,37.71536,39,16.276087500000003,37.489663333333326
23,5,16.52430166666667,17.02073,37.26396666666666,37.71536,7,16.772515833333337,37.489663333333326
24,5,17.02073,17.517158333333334,37.26396666666666,37.71536,4,17.268944166666667,37.489663333333326
25,5,17.517158333333334,18.01358666666667,37.26396666666666,37.71536,0,17.7653725,37.489663333333326
26,5,18.01358666666667,18.510015000000003,37.26396666666666,37.71536,2,18.261800833333336,37.489663333333326
27,5,18.510015000000003,19.006443333333337,37.26396666666666,37.71536,1,18.75822916666667,37.489663333333326
28,5,19.006443333333337,19.502871666666667,37.26396666666666,37.71536,1,19.2546575,37.489663333333326
29,5,19.502871666666667,19.9993,37.26396666666666,37.71536,4,19.751085833333335,37.489663333333326
0,6,5.10645,5.602878333333333,37.71536,38.16675333333333,0,5.354664166666666,37.94105666666667
1,6,5.602878333333333,6.099306666666666,37.71536,38.16675333333333,0,5.8510925,37.94105666666667
2,6,6.099306666666666,6.5957349999999995,37.71536,38.16675333333333,0,6.347520833333332,37.94105666666667
3,6,6.5957349999999995,7.092163333333334,37.71536,38.16675333333333,0,6.8439491666666665,37.94105666666667
4,6,7.092163333333334,7.588591666666667,37.71536,38.16675333333333,0,7.340377500000001,37.94105666666667
5,6,7.588591666666667,8.08502,37.71536,38.16675333333333,0,7.836805833333333,37.94105666666667
6,6,8.08502,8.581448333333334,37.71536,38.16675333333333,0,8.333234166666667,37.94105666666667
7,6,8.581448333333334,9.077876666666667,37.71536,38.16675333333333,0,8.829662500000001,37.94105666666667
8,6,9.077876666666667,9.574305,37.71536,38.16675333333333,0,9.326090833333334,37.94105666666667
9,6,9.574305,10.070733333333333,37.71536,38.16675333333333,0,9.822519166666666,37.94105666666667
10,6,10.070733333333333,10.567161666666667,37.71536,38.16675333333333,0,10.3189475,37.94105666666667
11,6,10.567161666666667,11.063590000000001,37.71536,38.16675333333333,0,10.815375833333334,37.94105666666667
12,6,11.063590000000001,11.560018333333334,37.71536,38.16675333333333,2,11.311804166666668,37.94105666666667
13,6,11.560018333333334,12.056446666666668,37.71536,38.16675333333333,1,11.8082325,37.94105666666667
14,6,12.056446666666668,12.552875,37.71536,38.16675333333333,5,12.304660833333333,37.94105666666667
15,6,12.552875,13.049303333333334,37.71536,38.16675333333333,17,12.801089166666667,37.94105666666667
16,6,13.049303333333334,13.545731666666669,37.71536,38.16675333333333,2,13.297517500000001,37.94105666666667
17,6,13.545731666666669,14.042160000000003,37.71536,38.16675333333333,24,13.793945833333336,37.94105666666667
18,6,14.042160000000003,14.538588333333333,37.71536,38.16675333333333,70,14.290374166666668,37.94105666666667
19,6,14.538588333333333,15.035016666666667,37.71536,38.16675333333333,283,14.7868025,37.94105666666667
