xmin,xmax,ymin,ymax,count,x_center,y_center
-115.97547918750001,-115.80432814687501,32.5067343796875,32.663760421875004,9,-115.88990366718751,32.585247400781256
-115.80432814687501,-115.7187526265625,32.5067343796875,32.585247400781256,6,-115.76154038671876,32.54599089023438
-115.7187526265625,-115.63317710625,32.5067343796875,32.585247400781256,8,-115.67596486640625,32.54599089023438
-115.80432814687501,-115.76154038671876,32.585247400781256,32.624503911328134,16,-115.78293426679689,32.604875656054695
-115.76154038671876,-115.7187526265625,32.585247400781256,32.624503911328134,14,-115.74014650664063,32.604875656054695
-115.80432814687501,-115.76154038671876,32.624503911328134,32.663760421875004,13,-115.78293426679689,32.644132166601565
-115.76154038671876,-115.7187526265625,32.624503911328134,32.663760421875004,10,-115.74014650664063,32.644132166601565
-115.7187526265625,-115.63317710625,32.585247400781256,32.663760421875004,1,-115.67596486640625,32.624503911328134
-115.63317710625,-115.462026065625,32.349708337500005,32.5067343796875,21,-115.5476015859375,32.42822135859375
-115.462026065625,-115.290875025,32.349708337500005,32.5067343796875,4,-115.37645054531251,32.42822135859375
-115.63317710625,-115.462026065625,32.5067343796875,32.663760421875004,3,-115.5476015859375,32.585247400781256
-115.97547918750001,-115.93269142734377,32.663760421875004,32.703016932421875,3,-115.95408530742189,32.68338867714844
-115.93269142734377,-115.88990366718751,32.663760421875004,32.703016932421875,15,-115.91129754726563,32.68338867714844
-115.97547918750001,-115.93269142734377,32.703016932421875,32.74227344296875,8,-115.95408530742189,32.72264518769531
-115.93269142734377,-115.88990366718751,32.703016932421875,32.74227344296875,7,-115.91129754726563,32.72264518769531
-115.88990366718751,-115.84711590703125,32.663760421875004,32.703016932421875,6,-115.86850978710939,32.68338867714844
-115.84711590703125,-115.80432814687501,32.663760421875004,32.703016932421875,12,-115.82572202695313,32.68338867714844
-115.88990366718751,-115.84711590703125,32.703016932421875,32.74227344296875,12,-115.86850978710939,32.72264518769531
-115.80432814687501,-115.63317710625,32.663760421875004,32.82078646406251,17,-115.7187526265625,32.74227344296875
-115.97547918750001,-115.80432814687501,32.82078646406251,32.977812506250004,1,-115.88990366718751,32.899299485156256
-115.80432814687501,-115.63317710625,32.82078646406251,32.977812506250004,1,-115.7187526265625,32.899299485156256
-115.63317710625,-115.290875025,32.663760421875004,32.977812506250004,11,-115.462026065625,32.82078646406251
-116.66008335000001,-116.31778126875001,32.977812506250004,33.291864590625,13,-116.488932309375,33.1348385484375
-116.31778126875001,-115.97547918750001,32.977812506250004,33.291864590625,12,-116.14663022812502,33.1348385484375
-116.66008335000001,-116.31778126875001,33.291864590625,33.605916675,15,-116.488932309375,33.44889063281251
-116.31778126875001,-115.97547918750001,33.291864590625,33.605916675,2,-116.14663022812502,33.44889063281251
-115.97547918750001,-115.63317710625,32.977812506250004,33.291864590625,8,-115.80432814687501,33.1348385484375
-115.63317710625,-115.462026065625,32.977812506250004,33.1348385484375,24,-115.5476015859375,33.05632552734375
-115.63317710625,-115.462026065625,33.1348385484375,33.291864590625,11,-115.5476015859375,33.213351569531255
-115.97547918750001,-115.63317710625,33.291864590625,33.605916675,6,-115.80432814687501,33.44889063281251
-115.290875025,-113.9216667,32.349708337500005,33.605916675,13,-114.6062708625,32.977812506250004
-119.3985,-118.029291675,33.605916675,34.8621250125,25,-118.71389583749999,34.23402084375
-118.029291675,-117.3446875125,33.605916675,34.23402084375,20,-117.68698959375,33.919968759375
-117.3446875125,-116.66008335000001,33.605916675,34.23402084375,24,-117.00238543125,33.919968759375
-118.029291675,-117.3446875125,34.23402084375,34.8621250125,1,-117.68698959375,34.548072928125
-117.3446875125,-116.66008335000001,34.23402084375,34.8621250125,6,-117.00238543125,34.548072928125
-119.3985,-118.029291675,34.8621250125,36.11833335,22,-118.71389583749999,35.49022918125
-118.029291675,-117.3446875125,34.8621250125,35.49022918125,3,-117.68698959375,35.176177096875
-117.3446875125,-116.66008335000001,34.8621250125,35.49022918125,6,-117.00238543125,35.176177096875
-117.68698959375,-117.51583855312501,35.49022918125,35.6472552234375,21,-117.6014140734375,35.56874220234375
-117.51583855312501,-117.4302630328125,35.49022918125,35.56874220234375,3,-117.47305079296876,35.52948569179688
-117.4302630328125,-117.3446875125,35.49022918125,35.56874220234375,10,-117.38747527265625,35.52948569179688
-117.51583855312501,-117.4302630328125,35.56874220234375,35.6472552234375,16,-117.47305079296876,35.60799871289062
-117.4302630328125,-117.3446875125,35.56874220234375,35.6472552234375,22,-117.38747527265625,35.60799871289062
-117.68698959375,-117.6014140734375,35.6472552234375,35.72576824453125,3,-117.64420183359374,35.686511733984375
-117.6014140734375,-117.55862631328125,35.6472552234375,35.686511733984375,1,-117.58002019335937,35.666883478710936
-117.55862631328125,-117.51583855312501,35.6472552234375,35.686511733984375,15,-117.53723243320313,35.666883478710936
-117.6014140734375,-117.55862631328125,35.686511733984375,35.72576824453125,7,-117.58002019335937,35.706139989257814
-117.55862631328125,-117.51583855312501,35.686511733984375,35.72576824453125,7,-117.53723243320313,35.706139989257814
-117.68698959375,-117.6014140734375,35.72576824453125,35.804281265625,15,-117.64420183359374,35.76502475507813
-117.6014140734375,-117.55862631328125,35.72576824453125,35.76502475507813,17,-117.58002019335937,35.74539649980469
-117.55862631328125,-117.51583855312501,35.72576824453125,35.76502475507813,6,-117.53723243320313,35.74539649980469
-117.6014140734375,-117.55862631328125,35.76502475507813,35.804281265625,9,-117.58002019335937,35.78465301035156
-117.55862631328125,-117.51583855312501,35.76502475507813,35.804281265625,1,-117.53723243320313,35.78465301035156
-117.51583855312501,-117.47305079296876,35.6472552234375,35.686511733984375,18,-117.49444467304689,35.666883478710936
